SortIt,ImageNo,ImageName,folder,Site,SiteNo,Side,SideNo,Date,Time,LFC,LFCC,DF,Pelicans,Grebes,Cormorant,Percent.Obstructed,Exposure,Image.Clarity,Water.Clarity,Month,Day,Year,Time,Date.Time,Discharge.cms,Velocity.m.s,Argo.Depth.m,Logger.Depth.m,Logger.Temp.C,DucksUnlimited.Temp,Camera.Height.cm,width.m,height.m,Area.m.sq,Correction.factor,LFCCR
1240,1862,IMG_1285,100RECNX,Waterhen,1,Lake,1,28/05/2014,20:00:00,35,35,0,0,0,0,0,2,1,2,28,5,2014,20:00:00,28/05/2014 20:00,3.645,0.11,2.929,1.068,17.484,17.7,3.11144845,2.40617643,1.804640101,4.342282475,1.0124,35
1241,1863,IMG_1286,100RECNX,Waterhen,1,Lake,1,28/05/2014,20:15:00,26,26,0,0,0,0,0,2,1,2,28,5,2014,20:15:00,28/05/2014 20:15,3.458,0.108,2.935,1.068,17.462,17.8,3.10567675,2.401713001,1.801292515,4.326187652,1.0162,26
1242,1864,IMG_1287,100RECNX,Waterhen,1,Lake,1,28/05/2014,20:30:00,8,8,0,0,0,0,0,2,1,2,28,5,2014,20:30:00,28/05/2014 20:30,3.972,0.099,2.94,1.069,17.454,17.8,3.100867,2.397993477,1.79850286,4.312798127,1.0193,8
1243,1865,IMG_1288,100RECNX,Waterhen,1,Lake,1,28/05/2014,20:45:00,15,15,0,0,0,0,0,2,1,2,28,5,2014,20:45:00,28/05/2014 20:45,4.321,0.099,2.943,1.07,17.52,17.9,3.09798115,2.395761763,1.796829067,4.304774373,1.0212,15
1244,1866,IMG_1289,100RECNX,Waterhen,1,Lake,1,28/05/2014,21:00:00,6,6,0,0,0,0,0,2,1,2,28,5,2014,21:00:00,28/05/2014 21:00,4.742,0.085,2.942,1.068,17.615,17.8,3.0989431,2.396505668,1.797386998,4.307448127,1.0206,6
1245,1867,IMG_1290,100RECNX,Waterhen,1,Lake,1,28/05/2014,21:15:00,11,11,0,0,0,0,0,2,1,2,28,5,2014,21:15:00,28/05/2014 21:15,5.499,0.082,2.943,1.069,17.604,17.9,3.09798115,2.395761763,1.796829067,4.304774373,1.0212,11
1246,1868,IMG_1291,100RECNX,Waterhen,1,Lake,1,28/05/2014,21:30:00,15,15,0,0,0,0,0,2,1,2,28,5,2014,21:30:00,28/05/2014 21:30,5.502,0.091,2.943,1.07,17.339,17.9,3.09798115,2.395761763,1.796829067,4.304774373,1.0212,15
1247,1900,IMG_1323,100RECNX,Waterhen,1,Lake,1,29/05/2014,5:30:00,13,13.3,0,0,0,0,2.3,2,1,2,29,5,2014,5:30:00,29/05/2014 5:30,7.246,0.084,2.924,1.054,15.474,15.1,3.1162582,2.409895954,1.807429756,4.355717656,1.0093,13
1248,1901,IMG_1324,100RECNX,Waterhen,1,Lake,1,29/05/2014,5:45:00,17,17.41,0,0,0,0,2.4,2,1,2,29,5,2014,5:45:00,29/05/2014 5:45,5.683,0.112,2.931,1.054,15.157,15.1,3.10952455,2.40468862,1.803524239,4.336914214,1.0137,18
1249,1902,IMG_1325,100RECNX,Waterhen,1,Lake,1,29/05/2014,6:00:00,22,22.46,0,0,0,0,2.1,2,1,2,29,5,2014,6:00:00,29/05/2014 6:00,4.136,0.132,2.928,1.052,15.003,15.2,3.1124104,2.406920335,1.805198032,4.344967851,1.0118,23
1250,1903,IMG_1326,100RECNX,Waterhen,1,Lake,1,29/05/2014,6:15:00,37,37,0,0,0,0,0,2,1,2,29,5,2014,6:15:00,29/05/2014 6:15,2.162,0.138,2.929,1.051,14.996,15.2,3.11144845,2.40617643,1.804640101,4.342282475,1.0124,37
1251,1904,IMG_1327,100RECNX,Waterhen,1,Lake,1,29/05/2014,6:30:00,44,44,0,0,0,0,0,2,1,1,29,5,2014,6:30:00,29/05/2014 6:30,0.342,0.153,2.926,1.046,15.009,15.1,3.1143343,2.408408144,1.806313894,4.350341093,1.0105,44
1252,1905,IMG_1328,100RECNX,Waterhen,1,Lake,1,29/05/2014,6:45:00,61,62.28,0,0,0,0,2.1,2,1,1,29,5,2014,6:45:00,29/05/2014 6:45,-0.41,0.124,2.923,1.047,15.026,15.1,3.11722015,2.410639859,1.807987687,4.358407182,1.0087,63
1253,1906,IMG_1329,100RECNX,Waterhen,1,Lake,1,29/05/2014,7:00:00,43,44.94,0,0,0,0,4.5,2,1,1,29,5,2014,7:00:00,29/05/2014 7:00,-1.809,0.095,2.924,1.046,14.899,15.1,3.1162582,2.409895954,1.807429756,4.355717656,1.0093,45
1254,1907,IMG_1330,100RECNX,Waterhen,1,Lake,1,29/05/2014,7:15:00,51,53.09,0,0,0,0,4.1,2,1,1,29,5,2014,7:15:00,29/05/2014 7:15,-2.231,0.058,2.928,1.043,14.853,15.1,3.1124104,2.406920335,1.805198032,4.344967851,1.0118,54
1255,1908,IMG_1331,100RECNX,Waterhen,1,Lake,1,29/05/2014,7:30:00,50,50,0,0,0,0,0,2,1,1,29,5,2014,7:30:00,29/05/2014 7:30,-1.543,0.024,2.933,1.045,14.872,15.1,3.10760065,2.403200811,1.802408377,4.331549273,1.0149,51
1256,1909,IMG_1332,100RECNX,Waterhen,1,Lake,1,29/05/2014,7:45:00,8,9.58,0,0,0,0,19.7,2,1,2,29,5,2014,7:45:00,29/05/2014 7:45,-0.383,0.01,2.932,1.041,14.636,15.1,3.1085626,2.403944715,1.802966308,4.334231328,1.0143,10
1257,1910,IMG_1333,100RECNX,Waterhen,1,Lake,1,29/05/2014,8:00:00,29,31.9,3,0,0,0,10,2,1,2,29,5,2014,8:00:00,29/05/2014 8:00,0.287,-0.016,2.933,1.034,14.441,15.1,3.10760065,2.403200811,1.802408377,4.331549273,1.0149,32
1258,1911,IMG_1334,100RECNX,Waterhen,1,Lake,1,29/05/2014,8:15:00,15,16.49,3,0,0,0,9.9,2,1,2,29,5,2014,8:15:00,29/05/2014 8:15,1.24,-0.024,2.928,1.029,14.52,15.1,3.1124104,2.406920335,1.805198032,4.344967851,1.0118,17
1259,1912,IMG_1335,100RECNX,Waterhen,1,Lake,1,29/05/2014,8:30:00,20,20,0,0,0,0,0,2,1,2,29,5,2014,8:30:00,29/05/2014 8:30,0.39,-0.011,2.936,1.027,14.623,15.1,3.1047148,2.400969096,1.800734584,4.323508087,1.0168,20
1260,1913,IMG_1336,100RECNX,Waterhen,1,Lake,1,29/05/2014,8:45:00,35,35,0,0,0,0,0,2,1,2,29,5,2014,8:45:00,29/05/2014 8:45,0.046,0.011,2.93,1.034,14.656,15.1,3.1104865,2.405432525,1.80408217,4.33959793,1.013,35
1261,1914,IMG_1337,100RECNX,Waterhen,1,Lake,1,29/05/2014,9:00:00,34,34,0,0,0,0,0,2,1,2,29,5,2014,9:00:00,29/05/2014 9:00,0.287,0.023,2.927,1.034,14.788,15.2,3.11337235,2.407664239,1.805755963,4.347654057,1.0112,34
1262,1915,IMG_1338,100RECNX,Waterhen,1,Lake,1,29/05/2014,9:15:00,33,33,0,0,0,0,0,2,1,2,29,5,2014,9:15:00,29/05/2014 9:15,0.716,0.041,2.915,1.038,14.774,15.2,3.12491575,2.416591097,1.812451135,4.379953276,1.0037,33
1263,1916,IMG_1339,100RECNX,Waterhen,1,Lake,1,29/05/2014,9:30:00,41,41,0,0,0,0,0,2,1,2,29,5,2014,9:30:00,29/05/2014 9:30,0.127,0.025,2.909,1.037,14.728,15.2,3.13068745,2.421054526,1.815798721,4.396147711,1,41
1264,1917,IMG_1340,100RECNX,Waterhen,1,Lake,1,29/05/2014,9:45:00,44,44,0,0,0,0,0,2,1,2,29,5,2014,9:45:00,29/05/2014 9:45,-0.248,0.019,2.915,1.042,14.849,15.3,3.12491575,2.416591097,1.812451135,4.379953276,1.0037,44
